1 Number;2 Time;3 CV;5 Model;10 Epochs;11 Val acc;12 Val f1;13 Test acc;14 Test f1;100 Comment;Test Conf
0;Sun Feb 14 10:44:11 2021;1/2.;fc1;20;81.46;81.48;80.14;79.94;KCMH_CNN3ADAM;[[13605  1468   151    80   297] [ 1942 10965  2881   140   856] [  215  4611 31718  2828  1039] [   11    57  2408 13196     7] [  291   961   898   251 16823]]
0;Sun Feb 14 11:00:31 2021;1/2.;fc1;20;81.66;81.61;80.33;80.14;KCMH_CNN3ADAM;[[13764  1325   111    72   329] [ 1909 10945  2842   101   987] [  237  4577 31881  2635  1081] [    7    52  2664 12949     7] [  284   885   928   153 16974]]
0;Sun Feb 14 11:15:01 2021;2/2.;fc1;20;80.60;80.02;80.78;80.87;KCMH_CNN3ADAM;[[13763  1654   188    58   416] [ 1287 12319  4701   149  1046] [  124  3055 32073  2304  1302] [   13    19  2333 11327   155] [  194   777   919     1 17479]]
0;Sun Feb 14 17:29:30 2021;1/2.;fc1;20;81.44;81.45;80.60;80.45;KCMH_CNN3ADAM;[[13720  1396   128    65   292] [ 1810 11020  3027    90   837] [  197  4438 31965  2817   994] [   10    65  2381 13216     7] [  294   971   907   165 16887]]
0;Sun Feb 14 17:51:29 2021;2/2.;fc1;20;79.99;79.34;80.40;80.61;KCMH_CNN3ADAM;[[13801  1620   174    49   435] [ 1380 12411  4462   161  1088] [  143  3346 31152  2844  1373] [   15    26  1817 11804   185] [  220   870   887     3 17390]]
0;Sun Feb 14 20:37:03 2021;1/10.;fc1;20;82.88;82.86;83.49;83.13;KCMH_CNN3ADAM;[[3194  493   69    1   48] [ 172 2244  717   10  202] [  23  565 6735  506   98] [   3    3  288 2515    0] [  39  134  137    0 3046]]
0;Sun Feb 14 21:11:20 2021;2/10.;fc1;20;81.46;81.18;81.09;81.70;KCMH_CNN3ADAM;[[3598  323   18    3   30] [ 427 3041  952    3  217] [  50  790 6321  484  256] [   1    8  323 1880    4] [  49  115  103    1 2989]]
0;Sun Feb 14 21:41:32 2021;3/10.;fc1;20;79.90;80.35;80.75;81.06;KCMH_CNN3ADAM;[[2415  299   30   17   40] [ 456 2667  725   50  138] [  37  557 5486  824  114] [   1    4  343 3105    3] [  87  142  166   55 3479]]
0;Sun Feb 14 22:13:20 2021;4/10.;fc1;20;80.51;81.22;81.41;81.70;KCMH_CNN3ADAM;[[2522  203   27    7   40] [ 334 2662  797    2  142] [  27  510 5841  274  140] [   9    8  906 2505   69] [  55  185  213    1 3765]]
0;Sun Feb 14 22:43:23 2021;5/10.;fc1;20;81.46;82.04;85.67;85.19;KCMH_CNN3ADAM;[[2725  136   18    6   42] [ 166 2037  627    1  184] [  26  523 6926  174  108] [   1   17  731 2818   18] [  27   91  120   28 3692]]
0;Sun Feb 14 23:11:10 2021;6/10.;fc1;20;80.88;80.98;84.88;84.13;KCMH_CNN3ADAM;[[3323  193   10    0   40] [ 269 2243  433    0  164] [  25  670 6888  386  152] [   3   12  641 2032    0] [  14   62  137    1 3539]]
0;Sun Feb 14 23:46:52 2021;7/10.;fc1;20;82.86;82.32;82.99;82.67;KCMH_CNN3ADAM;[[2652  216   20    7   53] [ 276 2186  582   18  151] [  35  889 7268  591  334] [   1    7  260 2508    2] [  41  107  150    0 3637]]
0;Mon Feb 15 00:17:18 2021;8/10.;fc1;20;82.61;82.35;81.02;81.73;KCMH_CNN3ADAM;[[2333  268   39    2   40] [ 204 2838 1026    4  154] [  33  860 6464  356  162] [   3   10  471 1915    0] [  57  188  154    1 3657]]
0;Mon Feb 15 00:45:54 2021;9/10.;fc1;20;81.01;81.62;82.63;81.44;KCMH_CNN3ADAM;[[1830  276   22    7   47] [ 328 2029  693   29  119] [  49  695 7560  524  271] [   2    4  447 2850    0] [  36  120  150    1 3902]]
0;Mon Feb 15 01:13:16 2021;10/10.;fc1;20;82.57;81.64;83.10;83.08;KCMH_CNN3ADAM;[[3554  368   21   12   43] [ 351 2512  606   10   88] [  38  696 6294  472  162] [   0    5  314 2474    2] [  50  213  258    0 3400]]
